hfpxzc href,qBF1Pd,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,UsdlK,lcr4fd href,Concat
https://www.google.com/maps/place/Kleintierpraxis+am+Hechtpark+Fischer/data=!4m7!3m6!1s0x4709cf18b308eaef:0xfb5be08bca1273d5!8m2!3d51.07691!4d13.751631!16s%2Fg%2F1tf645wg!19sChIJ7-oIsxjPCUcR1XMSyovgW_s?authuser=0&hl=en&rclk=1,Kleintierpraxis am Hechtpark Fischer,Veterinarian,·,,·,Rudolf-Leonhard-Straße 66,0351 8951150,http://www.kleintierpraxis-am-hechtpark.de/,"""I would not take mypetanywhere else."""
https://www.google.com/maps/place/Diagnostikzentrum+f%C3%BCr+Kleintiere+-+Terminsprechstunde/data=!4m7!3m6!1s0x4709c5fa758e3183:0x11ce5fbed1e21d79!8m2!3d51.0329313!4d13.7456758!16s%2Fg%2F11bzypv4vw!19sChIJgzGOdfrFCUcReR3i0b5fzhE?authuser=0&hl=en&rclk=1,Diagnostikzentrum für Kleintiere - Terminsprechstunde,Veterinarian,·,,·,Semperstraße 3c,0351 4722898,https://www.tagesklinik-kleintiere.de/,"""They were able to help us inEnglish."""
https://www.google.com/maps/place/VetPraxis+Tierarztpraxis+f%C3%BCr+Kleintiere+prakt.+Tierarzt+Krzysztof+Sliwinski/data=!4m7!3m6!1s0x4709c582c5d5dcdb:0x40306596e64c3b24!8m2!3d51.0358991!4d13.7048579!16s%2Fg%2F11c47zmlt5!19sChIJ29zVxYLFCUcRJDtM5pZlMEA?authuser=0&hl=en&rclk=1,VetPraxis Tierarztpraxis für Kleintiere prakt. Tierarzt Krzysztof Sliwinski,Veterinarian,·,,·,Tharandter Str. 45B,0351 42420505,http://www.vetpraxis-dresden.de/,"""He also speaksEnglish:)"""
https://www.google.com/maps/place/Animal+Hospital+Dresden+Heath/data=!4m7!3m6!1s0x4709c8d1f928ad75:0x8bf9ac30f7a60f34!8m2!3d51.0682803!4d13.7861138!16s%2Fg%2F1vs1ql4g!19sChIJda0o-dHICUcRNA-m9zCs-Ys?authuser=0&hl=en&rclk=1,Animal Hospital Dresden Heath,Veterinarian,·,,·,Fischhausstraße 5,0351 816050,https://avetia-dresden.de/,"""The specialist doctors here are very knowledgeable and patient."""
https://www.google.com/maps/place/LUNAVET/data=!4m7!3m6!1s0x4709c500435524a1:0x6a645c0d16a7b0aa!8m2!3d51.0445866!4d13.6987943!16s%2Fg%2F11mllfd99t!19sChIJoSRVQwDFCUcRqrCnFg1cZGo?authuser=0&hl=en&rclk=1,LUNAVET,Veterinarian,·,,Wernerstraße 38,·,0351 49768036,https://luna-vet.de/,
https://www.google.com/maps/place/Tagesklinik+f%C3%BCr+Kleintiere+%2F+Koch+%26+Land/data=!4m7!3m6!1s0x4709c95bd4f6a281:0x3faf08309f7d2908!8m2!3d51.039172!4d13.8042765!16s%2Fg%2F11fct0k4n3!19sChIJgaL21FvJCUcRCCl9nzAIrz8?authuser=0&hl=en&rclk=1,Tagesklinik für Kleintiere / Koch & Land,Veterinarian,·,,·,Glashütter Str. 101,0351 30702210,http://www.kleintierspezialisten-dresden.de/,
https://www.google.com/maps/place/Tierarztpraxis+Vockert/data=!4m7!3m6!1s0x4709c6094a0924c3:0x33abb9e1ebfc4b80!8m2!3d51.024092!4d13.7632986!16s%2Fg%2F1v1knkxb!19sChIJwyQJSgnGCUcRgEv86-G5qzM?authuser=0&hl=en&rclk=1,Tierarztpraxis Vockert,Veterinarian,·,,·,Lockwitzer Str. 23-27,0351 86269870,https://tierarzt-vockert.de/,"""We are so happy with the patient care, devotion and patience."""
https://www.google.com/maps/place/Kleintierpraxis+Benitz/data=!4m7!3m6!1s0x4709c891cc55e84f:0x8d17131c66cbe036!8m2!3d51.0417088!4d13.8001233!16s%2Fg%2F11clv7mxqj!19sChIJT-hVzJHICUcRNuDLZhwTF40?authuser=0&hl=en&rclk=1,Kleintierpraxis Benitz,Veterinarian,·,,·,Schandauer Str. 43,0351 3115063,http://www.kleintierpraxis-benitz.de/,"""Also theyspeak English."""
https://www.google.com/maps/place/Small+animal+practice+at+the+Gro%C3%9Fer+Garten+-+skin+veterinarian/data=!4m7!3m6!1s0x4709c61c4d895555:0x1044761c8ac9f3a!8m2!3d51.0337589!4d13.7806689!16s%2Fg%2F11y35s6swq!19sChIJVVWJTRzGCUcROp-syGFHBAE?authuser=0&hl=en&rclk=1,Small animal practice at the Großer Garten - skin veterinarian,Veterinarian,·,,Beilstraße 23,·,0351 2067960,http://hauttierarzt-dresden.de/,
https://www.google.com/maps/place/Kleintierpraxis+am+Gro%C3%9Fen+Garten/data=!4m7!3m6!1s0x4709c61e509adcbf:0x6809a4963e7be2d2!8m2!3d51.0337308!4d13.7806814!16s%2Fg%2F1tdp8b7c!19sChIJv9yaUB7GCUcR0uJ7PpakCWg?authuser=0&hl=en&rclk=1,Kleintierpraxis am Großen Garten,Veterinarian,·,,·,Beilstraße 23,0351 2067960,http://www.kleintierpraxis-amgrossengarten.de/,
https://www.google.com/maps/place/Wolf+%26+Tiger+Tierarztpraxis+Dresden+am+Goldenen+Reiter/data=!4m7!3m6!1s0x4709cff4b68495a9:0xc682b10d79851cdb!8m2!3d51.0608339!4d13.7445255!16s%2Fg%2F11m6xhpl5l!19sChIJqZWEtvTPCUcR2xyFeQ2xgsY?authuser=0&hl=en&rclk=1,Wolf & Tiger Tierarztpraxis Dresden am Goldenen Reiter,Veterinarian,·,,Hauptstraße 38,·,0351 89676676,https://www.wolfandtiger.de/locations/dresden/,"""They spoke perfectEnglish, which made everything much easier to understand."""
https://www.google.com/maps/place/Tierarztpraxis+mobile+Dresden/data=!4m7!3m6!1s0x4709c5984de3b24f:0x94e4a17323e68f9c!8m2!3d51.0413101!4d13.7249306!16s%2Fg%2F1hdzrxwvq!19sChIJT7LjTZjFCUcRnI_mI3Oh5JQ?authuser=0&hl=en&rclk=1,Tierarztpraxis mobile Dresden,Veterinary care,·,,·,Hohe Str. 7,0172 7850456,http://www.tierarzt-mobil-dresden.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Silvio+H%C3%B6hne/data=!4m7!3m6!1s0x4171906437ad546d:0x501dc86fb3d1b39!8m2!3d51.0437524!4d13.695375!16s%2Fg%2F1tj31v6f!19sChIJbVStN2SQcUERORs9-4bcAQU?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Silvio Höhne,Veterinarian,·,,·,Kesselsdorfer Str. 42,0351 4222360,http://www.kleintierpraxis-dd-loebtau.de/,"""Fairly priced and honest."""
https://www.google.com/maps/place/Tierarztpraxis+Kie%C3%9Fling/data=!4m7!3m6!1s0x417185bcf6304b2f:0xcf180a0886e66ab4!8m2!3d50.9671787!4d13.7163547!16s%2Fg%2F1tf19gh0!19sChIJL0sw9ryFcUERtGrmhggKGM8?authuser=0&hl=en&rclk=1,Tierarztpraxis Kießling,Veterinarian,·,,Kreischaer Str. 2B,,035206 21381,http://www.tierarzt-kiessling.de/,"""Highly competent and understanding."""
https://www.google.com/maps/place/Kleintierpraxis+Katrin+%26+Andr%C3%A9+Schneider/data=!4m7!3m6!1s0x4709c6483cb4eda3:0xca9fb9096e8b9aa1!8m2!3d51.0129415!4d13.7975323!16s%2Fg%2F1vs1ql3y!19sChIJo-20PEjGCUcRoZqLbgm5n8o?authuser=0&hl=en&rclk=1,Kleintierpraxis Katrin & André Schneider,Veterinarian,·,,·,Mügelner Str. 5,0351 2881597,http://www.tierarzt-in-dresden.de/,
https://www.google.com/maps/place/Tierarztpraxis+Am+Wilden+Mann/data=!4m7!3m6!1s0x4709ce5051fd1ecd:0xf95244d48c8dc047!8m2!3d51.0948259!4d13.7198583!16s%2Fg%2F11byvm2z8c!19sChIJzR79UVDOCUcRR8CNjNREUvk?authuser=0&hl=en&rclk=1,Tierarztpraxis Am Wilden Mann,Veterinarian,·,,·,Großenhainer Str. 190,0351 8580128,https://www.tierarzt-wildermann.de/,"""We are very happy with the service."""
https://www.google.com/maps/place/Kleintierpraxis+Dr.+Katja+Niekler/data=!4m7!3m6!1s0x4709c55000d11ded:0x38db90e6d35df89c!8m2!3d51.040688!4d13.6599914!16s%2Fg%2F1tdbpl6k!19sChIJ7R3RAFDFCUcRnPhd0-aQ2zg?authuser=0&hl=en&rclk=1,Kleintierpraxis Dr. Katja Niekler,Veterinarian,·,,Hirtenstraße 1,·,0351 4119709,https://www.kleintierpraxis-niekler.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dresden+Neustadt/data=!4m7!3m6!1s0x417190c24623fa57:0xfe625b38754c2320!8m2!3d51.0690514!4d13.7546866!16s%2Fg%2F1tsbkvcv!19sChIJV_ojRsKQcUERICNMdThbYv4?authuser=0&hl=en&rclk=1,Tierarztpraxis Dresden Neustadt,Veterinarian,·,,·,Sebnitzer Str. 6,0351 8022246,http://tierarztpraxis-dresden-neustadt.de/,"""Very helpfulvetand very reasonable prices."""
https://www.google.com/maps/place/Kleintierzentrum+am+Waldpark/data=!4m7!3m6!1s0x4709c8b9b3f56f1d:0xf4202e6dcad8086a!8m2!3d51.0540568!4d13.7885155!16s%2Fg%2F11b6dxl282!19sChIJHW_1s7nICUcRagjYym0uIPQ?authuser=0&hl=en&rclk=1,Kleintierzentrum am Waldpark,Veterinarian,·,,·,Loschwitzer Str. 3,0351 31906140,http://www.tierarzt-dresden-waldpark.de/,"""English speakingis a great advantage personally for me."""
https://www.google.com/maps/place/Tierarztpraxis+Dresden+Cosch%C3%BCtz+I+Tier%C3%A4rztin+Angela+Eissner/data=!4m7!3m6!1s0x4709c5d1b66736e9:0xd2f0cedbd9351ff1!8m2!3d51.0168587!4d13.7000496!16s%2Fg%2F11w9_syqxw!19sChIJ6TZnttHFCUcR8R812dvO8NI?authuser=0&hl=en&rclk=1,Tierarztpraxis Dresden Coschütz I Tierärztin Angela Eissner,Veterinarian,·,,Achtbeeteweg 43,·,0351 27589495,https://www.tierarztpraxis-dresden-coschuetz.de/,"""Thevetwas nice & patient enough to check my"
https://www.google.com/maps/place/Kleintierpraxis+Dr.+Heike+Janosch/data=!4m7!3m6!1s0x4709cfe76fa01e07:0x89407242831d624d!8m2!3d51.0632347!4d13.67636!16s%2Fg%2F11bztc4fm2!19sChIJBx6gb-fPCUcRTWIdg0JyQIk?authuser=0&hl=en&rclk=1,Kleintierpraxis Dr. Heike Janosch,Veterinarian,·,,Gottfried-Keller-Straße 4,·,0351 4210675,http://www.kleintierpraxis-janosch.de/,
https://www.google.com/maps/place/Dr.+med.+vet.+Antje+Schadt/data=!4m7!3m6!1s0x4709c89a2ab6e52f:0x39962fb31f4ccba3!8m2!3d51.04152!4d13.8038401!16s%2Fg%2F1tsbkvc4!19sChIJL-W2KprICUcRo8tMH7Mvljk?authuser=0&hl=en&rclk=1,Dr. med. vet. Antje Schadt,Veterinarian,·,,·,Wittenberger Str. 110C,0351 3120056,http://www.kleintierpraxis-schadt.de/,
https://www.google.com/maps/place/Dr.med.vet.+Wolfgang+B%C3%BCttner+veterinarian/data=!4m7!3m6!1s0x4709c5a98d794351:0x9e35e9745ad38fe6!8m2!3d51.0106347!4d13.6920015!16s%2Fg%2F1thzmm1m!19sChIJUUN5janFCUcR5o_TWnTpNZ4?authuser=0&hl=en&rclk=1,Dr.med.vet. Wolfgang Büttner veterinarian,Veterinarian,·,,·,Schulstraße 9,0351 4032076,https://dr.fressnapf.de/tierarzt/dresden/drmedvet-wolfgang-buettner-tierarzt/,"""Puts the animals and their owners at ease."""
https://www.google.com/maps/place/Veterinarian+Astrid+Ritter/data=!4m7!3m6!1s0x41719728514d6409:0x32953a9ff07ef6ae!8m2!3d51.0921918!4d13.7004953!16s%2Fg%2F1tgplr8c!19sChIJCWRNUSiXcUERrvZ-8J86lTI?authuser=0&hl=en&rclk=1,Veterinarian Astrid Ritter,Veterinarian,·,,·,Leipziger Str. 304,0351 8486705,http://www.tierarztpraxis-ritter.de/,
"https://www.google.com/maps/place/Dr.+Bettina+Stemmermann,+Tier%C3%A4rztin/data=!4m7!3m6!1s0x4709c8ac543f57f3:0xbb121db7f866e35a!8m2!3d51.0455334!4d13.7710108!16s%2Fg%2F1tl9l8vd!19sChIJ81c_VKzICUcRWuNm-LcdErs?authuser=0&hl=en&rclk=1","Dr. Bettina Stemmermann, Tierärztin",Veterinarian,·,,Fetscherstraße 26,·,0351 4598585,http://www.kleintierpraxis-stemmermann.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+med.+Vet.+Ralph+Kobera/data=!4m7!3m6!1s0x4709c706ccc277ed:0x57b6017e0eebb3bf!8m2!3d50.98768!4d13.80508!16s%2Fg%2F1tc_2tc5!19sChIJ7XfCzAbHCUcRv7PrDn4Btlc?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. med. Vet. Ralph Kobera,Veterinarian,·,,·,Tögelstraße 8,0351 2727047,http://www.tierarzt-kobera.de/,
https://www.google.com/maps/place/Astrid+Ehme+Tierarztpraxis/data=!4m7!3m6!1s0x4709c87d3d4a8669:0xeab803949576c4dd!8m2!3d51.0403369!4d13.82699!16s%2Fg%2F1tscmq53!19sChIJaYZKPX3ICUcR3cR2lZQDuOo?authuser=0&hl=en&rclk=1,Astrid Ehme Tierarztpraxis,Veterinarian,·,,Pillnitzer Landstraße 107,·,0351 2640474,https://tierarztpraxis-ehme-wachwitz.de/,
https://www.google.com/maps/place/Reiner+Benitz+D.V.M.+Tierarztpraxis/data=!4m7!3m6!1s0x4709c891cd00e73d:0x31a03b0f54f7632b!8m2!3d51.0416984!4d13.8001265!16s%2Fg%2F11g9dlr_hn!19sChIJPecAzZHICUcRK2P3VA87oDE?authuser=0&hl=en&rclk=1,Reiner Benitz D.V.M. Tierarztpraxis,Veterinarian,·,,Schandauer Str. 43,·,0351 3115063,http://www.kleintierpraxis-benitz.de/,
https://www.google.com/maps/place/Tierarztpraxis+Nestler+-+bitte+Termin+vereinbaren/data=!4m7!3m6!1s0x4709b909683ed91f:0xfbe754ac53135e13!8m2!3d50.957777!4d13.8616021!16s%2Fg%2F11gpf_d7d6!19sChIJH9k-aAm5CUcRE14TU6xU5_s?authuser=0&hl=en&rclk=1,Tierarztpraxis Nestler - bitte Termin vereinbaren,Veterinarian,·,,·,Burgstraße 32,03529 5373000,http://www.tierarzt-nestler.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+med.+vet.+Sebastian+Justus/data=!4m7!3m6!1s0x4709c9d902ea92cb:0x3bd0420050db6ce6!8m2!3d51.0605698!4d13.8815364!16s%2Fg%2F11g1vksrv_!19sChIJy5LqAtnJCUcR5mzbUABC0Ds?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. med. vet. Sebastian Justus,Veterinarian,·,,·,Bautzner Landstraße 273,0172 5729633,https://tierarztpraxis-dr-1.jimdosite.com/,On-site services
https://www.google.com/maps/place/PET%2FCT/data=!4m7!3m6!1s0x4709cf76da49105d:0x627605b6814ee289!8m2!3d51.0576773!4d13.7197007!16s%2Fg%2F11c5xsczdw!19sChIJXRBJ2nbPCUcRieJOgbYFdmI?authuser=0&hl=en&rclk=1,PET/CT,Medical diagnostic imaging center,·,,·,"Städtisches Klinikum Dresden Krankenhaus Dresden-Friedrichstadt Radiologische Klinik Friedrichstraße 41, Friedrichstraße 41/Haus L",0351 4801193,https://www.klinikum-dresden.de/zentren/medizinische-zentren/medizinisches-versorgungszentrum-mvz/nuklearmedizin,
https://www.google.com/maps/place/Alpakas-Dresden/data=!4m7!3m6!1s0x4709c80cad44926d:0xad4bd9932023c83f!8m2!3d51.03414!4d13.85086!16s%2Fg%2F11h64_chf9!19sChIJbZJErQzICUcRP8gjIJPZS60?authuser=0&hl=en&rclk=1,Alpakas-Dresden,Veterinarian,·,,Schulstraße 23,,0351 2691052,http://www.alpakas-dresden.de/?do=contact,
https://www.google.com/maps/place/Alpakagesundheitsdienst/data=!4m7!3m6!1s0x4709c701332c0001:0x559ed6ce424b5a6a!8m2!3d50.9876904!4d13.8049978!16s%2Fg%2F11v0c23zjw!19sChIJAQAsMwHHCUcRalpLQs7WnlU?authuser=0&hl=en&rclk=1,Alpakagesundheitsdienst,Veterinary care,·,,Tögelstraße 8,,0351 2727047,,
https://www.google.com/maps/place/Kleintierpraxis/data=!4m7!3m6!1s0x4709c4b9a017f6ed:0x787ceb1e970284d3!8m2!3d50.9860978!4d13.6367529!16s%2Fg%2F11fql188mk!19sChIJ7fYXoLnECUcR04QClx7rfHg?authuser=0&hl=en&rclk=1,Kleintierpraxis,Veterinary care,·,,Dresdner Str. 339,,,,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Nachtigall/data=!4m7!3m6!1s0x4709b98928ead541:0xc85cf4d0189351bf!8m2!3d50.9749!4d13.86267!16s%2Fg%2F1tdzpvd3!19sChIJQdXqKIm5CUcRv1GTGND0XMg?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Nachtigall,Veterinarian,·,,·,Mühlenstraße 22,03529 519422,http://www.tierarztpraxis-nachtigall.de/,
https://www.google.com/maps/place/Tierpraxis+Lunavet/data=!4m7!3m6!1s0x4c5d11aa6553be1d:0x11f5069c82d6dfac!8m2!3d51.175807!4d10.4541194!16s%2Fg%2F11yrksnccj!19sChIJHb5TZaoRXUwRrN_WgpwG9RE?authuser=0&hl=en&rclk=1,Tierpraxis Lunavet,Veterinarian,,,,,01516 7439269,https://www.luna-vet.de/,#REF!