"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ba12bc5db59:0x59666aa80228880f!8m2!3d48.134753!4d11.658236!16s%2Fg%2F11qnbrsvqd!19sChIJWdvFK6ELnkcRD4goAqhqZlk?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt München","4.8","(2,492)","Veterinarian","·","13 Am Moosfeld","Closed","· Opens 8 am Fri","·","0800 0010347","https://www.google.com/aclk?sa=L&ai=DChsSEwim6b_5n9mRAxUIloMHHQI1EoUYACICCAEQARoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQD-n026n3S1xcXAW0WFzJnJpS5ExC02C3SyA0QPeZP1RhlgLxfw4OhoC8FgQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1ZeP1AbG8SZkuCTj5iSDWOuWVdiw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/AniCura+Tierklinik+Haar/data=!4m7!3m6!1s0x479de1db6524fd6f:0x5eb95cb889f90757!8m2!3d48.112268!4d11.71571!16s%2Fg%2F1thr64ml!19sChIJb_0kZdvhnUcRVwf5ibhcuV4?authuser=0&hl=en&rclk=1","AniCura Tierklinik Haar","4.2","(1,784)","Animal hospital","·","25 Keferloher Straße","Open 24 hours","","·","089 46148510","https://www.google.com/aclk?sa=L&ai=DChsSEwim6b_5n9mRAxUIloMHHQI1EoUYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQFxHXLP3iD1ZqlOGh1LJUlUzzgnZHlBHslKojrDFONwZF7pEBbVzEBoCJJ8QAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3hHUQoY-D0ifJZ7y_GXrPk273BTw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Kleintierklinik+der+LMU+M%C3%BCnchen/data=!4m7!3m6!1s0x479e7594609b695d:0x9270c591662cceb8!8m2!3d48.1525839!4d11.5877163!16s%2Fg%2F11b6d1lr68!19sChIJXWmbYJR1nkcRuM4sZpHFcJI?authuser=0&hl=en&rclk=1","Kleintierklinik der LMU München","4.3","(904)","Animal hospital","·","·","Veterinärstraße 13","Open 24 hours","·","089 21802650","https://www.med.vetmed.uni-muenchen.de/index.html","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They saved our cat's life and provided great after care.""","","",""
"https://www.google.com/maps/place/Clinic+of+Small+Animal+Surgery+and+Reproduction/data=!4m7!3m6!1s0x479e7595c758a147:0x99a1f95fef49c04!8m2!3d48.1520803!4d11.5870728!16s%2Fg%2F11btlw4n9n!19sChIJR6FYx5V1nkcRBJz0_pUfmgk?authuser=0&hl=en&rclk=1","Clinic of Small Animal Surgery and Reproduction","4.5","(279)","Emergency veterinarian service","·","·","Veterinärstraße 13","Open 24 hours","·","089 21802650","http://www.chir.vetmed.uni-muenchen.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They spoke","English","to accommodate my limited German.""",""
"https://www.google.com/maps/place/Tierarztpraxis+Dr.+Cornelia+Maul+and+Dr.+Sabine+Herget/data=!4m7!3m6!1s0x479ddf7ca52d5fc3:0x21a35afb38181d4f!8m2!3d48.1292349!4d11.5861193!16s%2Fg%2F1vgw7mj2!19sChIJw18tpXzfnUcRTx0YOPtaoyE?authuser=0&hl=en&rclk=1","Tierarztpraxis Dr. Cornelia Maul and Dr. Sabine Herget","4.7","(509)","Veterinarian","·","Schwarzstraße 3","·","Closes soon","","089 99952010","https://www.tierarzt-muenchen.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Everyone speaks","English","and my cat’s","· 7 pm · Opens 8:30 am Fri"
"https://www.google.com/maps/place/Tierklinik+Oberhaching/data=!4m7!3m6!1s0x479dddbfa2c7f4dd:0xc8a522eefbe448da!8m2!3d48.0320052!4d11.5825403!16s%2Fg%2F1td_44qs!19sChIJ3fTHor_dnUcR2kjk--4ipcg?authuser=0&hl=en&rclk=1","Tierklinik Oberhaching","4.3","(969)","Animal hospital","·","·","Bajuwarenring 10","Open 24 hours","·","089 63893020","http://www.tierklinik-oberhaching.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The fact that everybody there was able to","speak English","was a nice bonus.""",""
"https://www.google.com/maps/place/Tiermedizinische+GmbH+-+Tierschutz+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ab0a7064189:0xa119a29bc6787738!8m2!3d48.1397193!4d11.6682756!16s%2Fg%2F11b6dqrcmb!19sChIJiUEGp7AKnkcROHd4xpuiGaE?authuser=0&hl=en&rclk=1","Tiermedizinische GmbH - Tierschutz München","4.5","(52)","Animal shelter","·","Brukenthalstraße 4","·","Open 24 hours","","089 92100040","https://tiermed-muenchen.de/","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Tierarztpraxis+Christian+Kie%C3%9Fling/data=!4m7!3m6!1s0x479e76174876ae11:0x96291af46fafb2ab!8m2!3d48.1501941!4d11.5333623!16s%2Fg%2F1ts3dm96!19sChIJEa52SBd2nkcRq7Kvb_QaKZY?authuser=0&hl=en&rclk=1","Tierarztpraxis Christian Kießling","4.6","(115)","Veterinarian","·","·","Donnersbergerstraße 17","","","089 45474505","https://www.tierarzt-rotkreuzplatz.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The procedure went smoothly and the follow-up care instructions were clear.""","","",""
"https://www.google.com/maps/place/Pferdeklinik+Aschheim+Dr.+Anja+Kasparek,+Dr.+Martin+Waselau/data=!4m7!3m6!1s0x479e0b13a894845f:0x6e5a58c08b873f4!8m2!3d48.1789403!4d11.7070315!16s%2Fg%2F1hc1l88sv!19sChIJX4SUqBMLnkcR9HO4CIyl5QY?authuser=0&hl=en&rclk=1","Pferdeklinik Aschheim Dr. Anja Kasparek, Dr. Martin Waselau","4.6","(225)","Veterinarian","·","·","Gartenstraße 14","Open 24 hours","·","089 99909820","https://www.pferdeklinik-aschheim.de/","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Veterinary+practice+Dr.med.vet.+Steffen+Hoffmann/data=!4m7!3m6!1s0x479e74605fc1b399:0x7be0fc61cfe750cb!8m2!3d48.1918328!4d11.6206822!16s%2Fg%2F1th7lw_x!19sChIJmbPBX2B0nkcRy1Dnz2H84Hs?authuser=0&hl=en&rclk=1","Veterinary practice Dr.med.vet. Steffen Hoffmann","4.3","(123)","Veterinarian","·","·","Floriansmühlstraße 19","Closes soon","·","089 32211460","http://www.tierarzt-dr-hoffmann.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""recommended.""","","","· 6:30 pm · Opens 8:30 am Fri"
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ba12bc5db59:0x59666aa80228880f!8m2!3d48.134753!4d11.658236!16s%2Fg%2F11qnbrsvqd!19sChIJWdvFK6ELnkcRD4goAqhqZlk?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt München","4.8","(2,492)","Veterinarian","·","Am Moosfeld 13","·","Closed","","089 21093270","https://felmo.de/tierarzt/muenchen?utm_medium=referral&utm_source=google_my_business&utm_term=muenchen","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very convenient, excellent service, the doctor was","speaking english",".""","· Opens 8 am Fri"
"https://www.google.com/maps/place/AniCura+Tierklinik+Haar/data=!4m7!3m6!1s0x479de1db6524fd6f:0x5eb95cb889f90757!8m2!3d48.1122681!4d11.71571!16s%2Fg%2F1thr64ml!19sChIJb_0kZdvhnUcRVwf5ibhcuV4?authuser=0&hl=en&rclk=1","AniCura Tierklinik Haar","4.2","(1,787)","Animal hospital","·","·","Keferloher Str. 25","Open 24 hours","·","089 46148510","https://www.anicura.de/tierklinik-haar/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Everyone was open to","speak English","with us""",""
"https://www.google.com/maps/place/Tier%C3%A4rztliches+Augenzentrum+M%C3%BCnchen+%E2%80%93+Dr.+Jens+Fritsche+%26+Kollegen/data=!4m7!3m6!1s0x479dd91e12bd3bb7:0xb3f7b87093d99bd0!8m2!3d48.1004575!4d11.5009318!16s%2Fg%2F1vg6sqph!19sChIJtzu9Eh7ZnUcR0JvZk3C497M?authuser=0&hl=en&rclk=1","Tierärztliches Augenzentrum München – Dr. Jens Fritsche & Kollegen","4.9","(122)","Animal hospital","·","·","Kreuzhofstraße 10","Closed","·","089 159094400","http://www.tier-augenarzt.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""We had a great experience here and were able to get an appointment quickly.""","","","· Opens 9 am Fri"
"https://www.google.com/maps/place/Dr.+med.+vet.+Eva+Shirzadian/data=!4m7!3m6!1s0x479de081325a8e07:0xba3b239da1c6e987!8m2!3d48.0847701!4d11.6387063!16s%2Fg%2F1hc86t3wq!19sChIJB45aMoHgnUcRh-nGoZ0jO7o?authuser=0&hl=en&rclk=1","Dr. med. vet. Eva Shirzadian","4.7","(30)","Veterinarian","·","Gustav-Heinemann-Ring 88","","","","089 6377269","http://www.tierarzt-mobil-muenchen.de/","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Mobile+Tierarztpraxis+Isabel+Vinh/data=!4m7!3m6!1s0x479e7475d92b6e97:0x330b86af85e0de8d!8m2!3d48.2088045!4d11.6108432!16s%2Fg%2F1q62bc_4n!19sChIJl24r2XV0nkcRjd7gha-GCzM?authuser=0&hl=en&rclk=1","Mobile Tierarztpraxis Isabel Vinh","4.8","(73)","Veterinarian","·","Admiralbogen 11","","","","0177 6322789","http://www.nis-behandlung-fuer-tiere.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I couldn’t have asked for a better doctor for my fur babies. English speaking verified.""","","",""
"https://www.google.com/maps/place/Tierarztpraxis+M%C3%BCnchen+Laim+Dr.+med.+vet.+Ursula+Link/data=!4m7!3m6!1s0x479dd8782e570921:0x652cf5fabd7d3578!8m2!3d48.1417635!4d11.4852651!16s%2Fg%2F1td4j2z2!19sChIJIQlXLnjYnUcReDV9vfr1LGU?authuser=0&hl=en&rclk=1","Tierarztpraxis München Laim Dr. med. vet. Ursula Link","4.7","(154)","Veterinarian","·","·","Agnes-Bernauer-Straße 178","Closes soon","·","089 58929090","http://www.tierarzt-laim.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very nice clinic and very friendly staff and","speak English","""","· 7 pm · Opens 9 am Fri"
"https://www.google.com/maps/place/Dr.+Anna+Draschka/data=!4m7!3m6!1s0x479dd8f31b3e0e8b:0x4a8f1794d1fbe2ef!8m2!3d48.1167427!4d11.5027985!16s%2Fg%2F1tdp8m06!19sChIJiw4-G_PYnUcR7-L70ZQXj0o?authuser=0&hl=en&rclk=1","Dr. Anna Draschka","4.8","(408)","Veterinarian","·","·","Fürstenrieder Str. 217","Closes soon","·","089 72402492","https://tierarzt-hadern.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The service is great!!""","","","· 6:30 pm · Opens 8 am Fri"
"https://www.google.com/maps/place/Klinik+f%C3%BCr+V%C3%B6gel,+Kleins%C3%A4uger,+Reptilien+und+Zierfische,+LMU+M%C3%BCnchen/data=!4m7!3m6!1s0x479e7104ae9fdcf5:0xcb6cac293b26f318!8m2!3d48.2485859!4d11.5486814!16s%2Fg%2F1tdb37z4!19sChIJ9dyfrgRxnkcRGPMmOymsbMs?authuser=0&hl=en&rclk=1","Klinik für Vögel, Kleinsäuger, Reptilien und Zierfische, LMU München","4.1","(240)","Animal hospital","·","·","Sonnenstraße 18","Closed","·","089 218076070","https://www.vogelklinik.vetmed.uni-muenchen.de/index.html","","Website","","Directions","","","","","","· Opens 8 am Fri"
"https://www.google.com/maps/place/Veterinary+clinic+for+horses+Wolfesing/data=!4m7!3m6!1s0x479e081fb0aada81:0x86a1699a2226d316!8m2!3d48.1099835!4d11.8303771!16s%2Fg%2F1x5qrs67!19sChIJgdqqsB8InkcRFtMmIpppoYY?authuser=0&hl=en&rclk=1","Veterinary clinic for horses Wolfesing","4.8","(230)","Animal hospital","·","·","Wolfesing 12","Open 24 hours","·","08106 20966","http://www.pferdeklinikwolfesing.de/","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/filu+Tierarztpraxis+Theresienwiese+-+Allgemein-+und+Notfallmedizin/data=!4m7!3m6!1s0xa25fde0a2a754f6b:0x2b8e95417d12fb9d!8m2!3d48.1356131!4d11.5555936!16s%2Fg%2F11scqxf0_r!19sChIJa091KgreX6IRnfsSfUGVjis?authuser=0&hl=en&rclk=1","filu Tierarztpraxis Theresienwiese - Allgemein- und Notfallmedizin","4.8","(764)","Animal hospital","·","·","Paul-Heyse-Straße 28","Closed","·","089 12086780","https://www.filu.vet/standorte/theresienwiese?utm_source=google&utm_medium=gmb","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Perfect","English","from both the","· Opens 8:15 am Sat"
"https://www.google.com/maps/place/Tierarztpraxis+Bogenhausen+Isabelle+Heiss/data=!4m7!3m6!1s0x479e75412bee87b7:0x7d89d2882cfdc5d1!8m2!3d48.1457307!4d11.6402498!16s%2Fg%2F1trxj80n!19sChIJt4fuK0F1nkcR0cX9LIjSiX0?authuser=0&hl=en&rclk=1","Tierarztpraxis Bogenhausen Isabelle Heiss","4.3","(188)","Animal hospital","·","·","Friedrich-Eckart-Straße 56 - 58","Closed","·","089 95006877","http://www.tierarztpraxis-bogenhausen.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It made a huge difference for our anxious doggo :).""","","","· Opens 10:30 am Fri"
"https://www.google.com/maps/place/SIRIUS%C2%AE+Behavior+Vets+Zentrum+f%C3%BCr+Tiermedizinische+Verhaltenstherapie/data=!4m7!3m6!1s0x479ddf0fa511b061:0xf8e14a648935389d!8m2!3d48.1093237!4d11.5701456!16s%2Fg%2F11y5v7kyk2!19sChIJYbARpQ_fnUcRnTg1iWRK4fg?authuser=0&hl=en&rclk=1","SIRIUS® Behavior Vets Zentrum für Tiermedizinische Verhaltenstherapie","5.0","(42)","Veterinarian","·","Birkenleiten 15","·","Closed","","089 68008383","https://verhaltenstherapie-tier.de/","","Website","","Directions","","","On-site services","","","· Opens 9 am Mon"
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ba12bc5db59:0x59666aa80228880f!8m2!3d48.134753!4d11.658236!16s%2Fg%2F11qnbrsvqd!19sChIJWdvFK6ELnkcRD4goAqhqZlk?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt München","4.8","(2,492)","Veterinarian","·","13 Am Moosfeld","Closed","· Opens 8 am Fri","·","0800 0010347","https://www.google.com/aclk?sa=L&ai=DChsSEwjygdv7n9mRAxWFmIMHHXPmMTAYACICCAEQARoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQCpspn_XhK140l9TniC-jBB3FlP2u-yAAfW5JGn12C8jzzHKnkHEthoCU0sQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3FQrgl9Kg1CH-StrdE4J54RcpVsA&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Frontier+Kleintierspezialisten/data=!4m7!3m6!1s0x479e09fbcc0a1a77:0x56969ed0dc33c31b!8m2!3d48.12675!4d11.78833!16s%2Fg%2F11pttn7dqr!19sChIJdxoKzPsJnkcRG8Mz3NCellY?authuser=0&hl=en&rclk=1","Frontier Kleintierspezialisten","4.8","(206)","Veterinarian","·","33 Parsdorfer Straße","Closed","· Opens 8 am Fri","·","089 90429560","https://www.google.com/aclk?sa=L&ai=DChsSEwjygdv7n9mRAxWFmIMHHXPmMTAYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQKxr5FTLd8rOcis_B0F37Q72OPnds2UFD6D4RVJUJwGulZg0gfgqYhoCz4IQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1kD8a5HMIR8h7mQ2LZbuWceL_VTA&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Dr.+Andrea+Hollmann/data=!4m7!3m6!1s0x479e75de512f1325:0x5000b0c2f61b4581!8m2!3d48.158373!4d11.5613183!16s%2Fg%2F1vk6y682!19sChIJJRMvUd51nkcRgUUb9sKwAFA?authuser=0&hl=en&rclk=1","Dr. Andrea Hollmann","4.7","(167)","Veterinarian","·","·","Agnesstraße 61","Closed","·","089 1234663","https://www.tierarztpraxis-hollmann.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Andrea Hollmann is very competent and friendly.""","","","· Opens 10 am Fri"
"https://www.google.com/maps/place/Dr.+Christine+Gabel,+Tier%C3%A4rztin+f%C3%BCr+Augenheilkunde/data=!4m7!3m6!1s0x4108fe18535997b3:0x57d294f39c23521a!8m2!3d48.1186929!4d11.4965256!16s%2Fg%2F1hc1kyxyc!19sChIJs5dZUxj-CEERGlIjnPOU0lc?authuser=0&hl=en&rclk=1","Dr. Christine Gabel, Tierärztin für Augenheilkunde","5.0","(59)","Veterinarian","·","·","Küchelstraße 14","","","089 72449244","http://www.tieraugenarzt-praxis.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""We are very lucky to find Dr. Gabel.""","","",""
"https://www.google.com/maps/place/Tier%C3%A4rztliche+Fachpraxis+f%C3%BCr+V%C3%B6gel+%26+Exoten+Dr.+med.+vet.+Heike+Reball/data=!4m7!3m6!1s0x4108f8d3bc1b76e9:0x27752c186208ae41!8m2!3d48.0557062!4d11.6077247!16s%2Fg%2F1tgn8lwj!19sChIJ6XYbvNP4CEERQa4IYhgsdSc?authuser=0&hl=en&rclk=1","Tierärztliche Fachpraxis für Vögel & Exoten Dr. med. vet. Heike Reball","4.7","(243)","Veterinarian","·","·","Inselkammerstraße 3","Closed","·","089 61208805","https://vogeltierarzt-reball.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very nice and competent doctors""","","","· Opens 10 am Sat"
"https://www.google.com/maps/place/Dr.+med.vet.+Annabelle+Culas/data=!4m7!3m6!1s0x479ddf0403a30ad7:0xa9266d5dee8ab45b!8m2!3d48.0995656!4d11.5789365!16s%2Fg%2F1vhq2plm!19sChIJ1wqjAwTfnUcRW7SK7l1tJqk?authuser=0&hl=en&rclk=1","Dr. med.vet. Annabelle Culas","4.8","(192)","Veterinarian","·","·","Immergrünstraße 14","Closed","·","089 69989404","https://www.tierarztpraxis-culas.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They have been incrediblly helpful and supportive towards us.""","","","· Opens 9 am Fri"
"https://www.google.com/maps/place/Tierarzt+M%C3%BCnchen,+Dr.+med.+vet.+Klaus+Sommer/data=!4m7!3m6!1s0x479dd85a05738c23:0x35476834f7433155!8m2!3d48.1147867!4d11.479284!16s%2Fg%2F1wnbw_bt!19sChIJI4xzBVrYnUcRVTFD9zRoRzU?authuser=0&hl=en&rclk=1","Tierarzt München, Dr. med. vet. Klaus Sommer","4.9","(134)","Animal hospital","·","·","Heiglhofstraße 1a","Closed","·","089 71049070","http://www.tierarzt-sommer.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I definitely recommend!""","","","· Opens 8 am Mon"
"https://www.google.com/maps/place/Tierarztpraxis+Dogs-Doc/data=!4m7!3m6!1s0x479e7bc7e96da169:0xda234d754f620e2a!8m2!3d48.2396434!4d11.4012299!16s%2Fg%2F11h5p7hw75!19sChIJaaFt6cd7nkcRKg5iT3VNI9o?authuser=0&hl=en&rclk=1","Tierarztpraxis Dogs-Doc","5.0","(202)","Veterinarian","·","·","Seeweg 1","","","08131 9986611","http://www.dogs-doc.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Happy, friendly and caring service make for a great experience!""","","",""
"https://www.google.com/maps/place/Dr.+med.+vet.+Peter+Baumann/data=!4m7!3m6!1s0x479dd8f7f2f9c721:0x7b21607caa290241!8m2!3d48.1138988!4d11.4878551!16s%2Fg%2F1tr16k7d!19sChIJIcf58vfYnUcRQQIpqnxgIXs?authuser=0&hl=en&rclk=1","Dr. med. vet. Peter Baumann","4.8","(162)","Veterinarian","·","·","Würmtalstraße 64 A","Closed","·","089 7144073","http://www.kleintierpraxis-muenchen.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent professional","vet",".""","· Opens 10 am Sat"
"https://www.google.com/maps/place/Tier%C3%A4rztliche+Gemeinschaftspraxis+Dr.+F.+Fiederling+und+Dr.+T.+Ludwig/data=!4m7!3m6!1s0x479dd927cc8cd0c9:0x6126b3cecd0cb1a5!8m2!3d48.1445199!4d11.4605096!16s%2Fg%2F11j7z4j1dt!19sChIJydCMzCfZnUcRpbEMzc6zJmE?authuser=0&hl=en&rclk=1","Tierärztliche Gemeinschaftspraxis Dr. F. Fiederling und Dr. T. Ludwig","4.3","(61)","Animal hospital","·","·","Josef-Retzer-Straße 44","Closed","·","089 82088787","https://www.pasinger-tierarztpraxis.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Every treatment was fair, transparent, and efficient.""","","","· Opens 8 am Mon"
"https://www.google.com/maps/place/Tierarztpraxis+Moosach+Dr.+Bader-Mechler/data=!4m7!3m6!1s0x479e76f98358b46b:0xe867e7eab9242d48!8m2!3d48.1878952!4d11.5262078!16s%2Fg%2F1tg85n7_!19sChIJa7RYg_l2nkcRSC0kuernZ-g?authuser=0&hl=en&rclk=1","Tierarztpraxis Moosach Dr. Bader-Mechler","4.5","(205)","Veterinarian","·","Triebstraße 3/1. OG rechts","·","Closed","","089 1414346","http://www.tierarzt-muenchen-moosach.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are taking good care of our cat and they","speak","perfect","· Opens 9 am Sat"
"https://www.google.com/maps/place/online-vet.net/data=!4m7!3m6!1s0x479e7529e94c10ff:0xa6f456850cfb97!8m2!3d51.175807!4d10.4541194!16s%2Fg%2F11r9kzy659!19sChIJ_xBM6Sl1nkcRl_sMhVb0pgA?authuser=0&hl=en&rclk=1","online-vet.net","5.0","(8)","Veterinarian","","·","","Open 24 hours","","0900 1 838638","https://www.online-vet.net/","","Website","","Directions","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""